route_id,service_id,trip_id,direction_id,shape_id
"101","757_94312","757_2556455","1","920950918"
"101","757_94304","757_2556457","1","920950918"
"101","757_94312","757_2556460","1","920950918"
"101","757_94304","757_2556461","1","920950918"
"101","757_94312","757_2556464","1","920950918"
"101","757_94304","757_2556465","1","920950918"
"101","757_94304","757_2556468","1","920950918"
"101","757_94312","757_2556472","1","920950918"
"101","757_94304","757_2556473","1","920950918"
"101","757_94304","757_2556476","1","920950918"
"101","757_94312","757_2556479","1","920950918"
"101","757_94304","757_2556480","1","920950918"
"101","757_94304","757_2556484","1","920950918"
"101","757_94312","757_2556487","1","920950918"
"101","757_94304","757_2556488","1","920950918"
"101","757_94304","757_2556491","1","920950918"
"101","757_94312","757_2556494","1","920950918"
"101","757_94304","757_2556496","1","920950918"
"101","757_94304","757_2556498","1","920950918"
"101","757_94312","757_2556502","1","920950918"
"101","757_94304","757_2556503","1","920950918"
"101","757_94304","757_2556506","1","920950918"
"101","757_94312","757_2556510","1","920950918"
"101","757_94304","757_2556511","1","920950918"
"101","757_94304","757_2556514","1","920950918"
"101","757_94312","757_2556516","1","920950918"
"101","757_94304","757_2556518","1","920950918"
"101","757_94304","757_2556520","1","920950918"
"101","757_94312","757_2556523","1","920950918"
"101","757_94304","757_2556525","1","920950918"
"101","757_94304","757_2556527","1","920950918"
"101","757_94312","757_2556529","1","920950918"
"101","757_94304","757_2556532","1","920950918"
"101","757_94304","757_2556534","1","920950918"
"101","757_94312","757_2556536","1","920950918"
"101","757_94304","757_2556538","1","920950918"
"101","757_94310","757_2556541","1","920950918"
"101","757_94395","757_2559309","0","917682364"
"101","757_94395","757_2559310","0","917682364"
"101","757_94395","757_2559311","0","917682364"
"101","757_94395","757_2559312","0","917682364"
"101","757_94395","757_2559313","0","917682364"
"101","757_94395","757_2559314","0","917682364"
"101","757_94395","757_2559315","0","917682364"
"101","757_94395","757_2559316","0","917682364"
"101","757_94395","757_2559317","0","917682364"
"101","757_94395","757_2559318","0","917682364"
"101","757_94395","757_2559319","0","917682364"
"101","757_94395","757_2559320","0","917682364"
"101","757_94395","757_2559321","0","917682364"
"101","757_94395","757_2559322","1","920950918"
"101","757_94395","757_2559323","1","920950918"
"101","757_94395","757_2559324","1","920950918"
"101","757_94395","757_2559325","1","920950918"
"101","757_94395","757_2559326","1","920950918"
"101","757_94395","757_2559327","1","920950918"
"101","757_94395","757_2559328","1","920950918"
"101","757_94395","757_2559329","1","920950918"
"101","757_94395","757_2559330","1","920950918"
"101","757_94395","757_2559331","1","920950918"
"101","757_94395","757_2559332","1","920950918"
"101","757_94395","757_2559333","1","920950918"
"101","757_94395","757_2559334","1","920950918"
"101","757_94396","757_2559335","1","920950918"
"101","757_109250","757_3203308","0","1644117514"
"101","757_109250","757_3203309","0","1644117514"
"101","757_109250","757_3203310","1","3766166848"
"101","757_109251","757_3203311","1","274526256"
"101","757_109251","757_3203312","1","1363390117"
"101","757_109251","757_3203313","0","3344475352"
"101","757_109251","757_3203314","0","917682364"
"101","757_109251","757_3203315","0","2543441442"
"101","757_109251","757_3203316","0","3344475352"
"101","757_109251","757_3203317","1","920950918"
"101","757_109251","757_3203318","0","917682364"
"101","757_109251","757_3203319","0","1627925054"
"101","757_109251","757_3203320","0","1644117514"
"101","757_109251","757_3203321","1","1367931449"
"101","757_109251","757_3203322","1","920950918"
"101","757_109251","757_3203323","1","920950918"
"101","757_109251","757_3203324","1","1111586804"
"101","757_109251","757_3203325","0","1268367439"
"101","757_109251","757_3203326","0","1644117514"
"101","757_109251","757_3203327","0","917682364"
"101","757_109251","757_3203328","0","1644117514"
"101","757_109251","757_3203329","1","863197001"
"101","757_109251","757_3203330","1","1363390117"
"101","757_109251","757_3203331","1","2222265589"
"101","757_109251","757_3203332","1","2829670546"
"101","757_109880","757_3221279","1","920950918"
"101","757_109880","757_3221280","0","917682364"
"101","757_109880","757_3221281","1","920950918"
"101","757_109880","757_3221282","0","917682364"
"101","757_109880","757_3221283","1","920950918"
"101","757_109880","757_3221284","0","917682364"
"101","757_109880","757_3221285","0","917682364"
"101","757_109880","757_3221286","0","369721051"
"101","757_109880","757_3221287","0","917682364"
"101","757_109880","757_3221288","0","917682364"
"101","757_109880","757_3221289","1","920950918"
"101","757_109880","757_3221290","0","917682364"
"101","757_109880","757_3221291","1","920950918"
"101","757_109880","757_3221292","1","920950918"
"101","757_109880","757_3221293","0","917682364"
"101","757_109880","757_3221294","0","917682364"
"101","757_109880","757_3221295","1","920950918"
"101","757_109880","757_3221296","0","917682364"
"101","757_109880","757_3221297","0","917682364"
"101","757_109880","757_3221298","0","917682364"
"101","757_109880","757_3221299","1","920950918"
"101","757_109880","757_3221300","1","920950918"
"101","757_109880","757_3221301","1","920950918"
"101","757_109880","757_3221302","0","917682364"
"101","757_109880","757_3221303","1","920950918"
"101","757_109880","757_3221304","0","917682364"
"101","757_109880","757_3221305","1","920950918"
"101","757_109880","757_3221306","0","917682364"
"101","757_109880","757_3221307","1","920950918"
"101","757_109880","757_3221308","0","917682364"
"101","757_109880","757_3221309","1","920950918"
"101","757_109880","757_3221310","1","920950918"
"101","757_109880","757_3221311","0","917682364"
"101","757_109880","757_3221312","0","917682364"
"101","757_109880","757_3221313","0","917682364"
"101","757_109880","757_3221314","1","920950918"
"101","757_109880","757_3221315","0","917682364"
"101","757_109880","757_3221316","1","920950918"
"101","757_109880","757_3221317","0","917682364"
"101","757_109880","757_3221318","1","920950918"
"101","757_109880","757_3221319","1","920950918"
"101","757_109880","757_3221320","0","917682364"
"101","757_109880","757_3221321","1","920950918"
"101","757_109880","757_3221322","0","917682364"
"101","757_109880","757_3221323","0","917682364"
"101","757_109880","757_3221324","1","920950918"
"101","757_109880","757_3221325","1","920950918"
"101","757_109880","757_3221326","1","920950918"
"101","757_109880","757_3221327","1","920950918"
"101","757_109880","757_3221328","0","917682364"
"101","757_109880","757_3221329","0","917682364"
"101","757_109880","757_3221330","0","917682364"
"101","757_109880","757_3221331","1","920950918"
"101","757_109880","757_3221332","0","917682364"
"101","757_109880","757_3221333","1","920950918"
"101","757_109880","757_3221334","0","917682364"
"101","757_109880","757_3221335","1","920950918"
"101","757_109880","757_3221336","1","920950918"
"101","757_109880","757_3221337","0","917682364"
"101","757_109880","757_3221338","0","917682364"
"101","757_109880","757_3221339","0","917682364"
"101","757_109880","757_3221340","0","917682364"
"101","757_109880","757_3221341","1","920950918"
"101","757_109880","757_3221342","1","920950918"
"101","757_109880","757_3221343","1","920950918"
"101","757_109880","757_3221344","1","920950918"
"101","757_109880","757_3221345","1","920950918"
"101","757_109881","757_3221346","0","917682364"
"101","757_109881","757_3221347","1","920950918"
"101","757_109881","757_3221348","1","920950918"
"101","757_109881","757_3221349","1","920950918"
"101","757_109881","757_3221350","1","920950918"
"101","757_109881","757_3221351","0","917682364"
"101","757_109881","757_3221352","0","917682364"
"101","757_109881","757_3221353","1","920950918"
"101","757_109881","757_3221354","0","917682364"
"101","757_109881","757_3221355","0","917682364"
"101","757_109881","757_3221356","0","917682364"
"101","757_109881","757_3221357","1","920950918"
"101","757_109881","757_3221358","0","917682364"
"101","757_109881","757_3221359","0","917682364"
"101","757_109881","757_3221360","1","920950918"
"101","757_109881","757_3221361","1","1688423373"
"101","757_109881","757_3221362","1","920950918"
"101","757_109881","757_3221363","0","917682364"
"101","757_109881","757_3221364","0","917682364"
"101","757_109881","757_3221365","0","917682364"
"101","757_109881","757_3221366","0","917682364"
"101","757_109881","757_3221367","1","920950918"
"101","757_109881","757_3221368","0","369721051"
"101","757_109881","757_3221369","1","920950918"
"101","757_109881","757_3221370","1","920950918"
"101","757_109881","757_3221371","0","917682364"
"101","757_109881","757_3221372","1","920950918"
"101","757_109881","757_3221373","0","917682364"
"101","757_109881","757_3221374","0","917682364"
"101","757_109881","757_3221375","0","917682364"
"101","757_109881","757_3221376","0","917682364"
"101","757_109881","757_3221377","1","920950918"
"101","757_109881","757_3221378","0","917682364"
"101","757_109881","757_3221379","1","920950918"
"101","757_109881","757_3221380","1","920950918"
"101","757_109881","757_3221381","0","917682364"
"101","757_109881","757_3221382","1","920950918"
"101","757_109881","757_3221383","1","920950918"
"101","757_109881","757_3221384","0","917682364"
"101","757_109881","757_3221385","0","917682364"
"101","757_109881","757_3221386","0","917682364"
"101","757_109881","757_3221387","1","920950918"
"101","757_109881","757_3221388","0","917682364"
"101","757_109881","757_3221389","0","917682364"
"101","757_109881","757_3221390","1","920950918"
"101","757_109881","757_3221391","1","920950918"
"101","757_109881","757_3221392","1","920950918"
"101","757_109881","757_3221393","1","920950918"
"101","757_109881","757_3221394","0","917682364"
"101","757_109881","757_3221395","1","920950918"
"101","757_109881","757_3221396","1","920950918"
"101","757_109881","757_3221397","1","920950918"
"101","757_109881","757_3221398","1","920950918"
"101","757_109931","757_3221851","1","920950918"
"101","757_109931","757_3221852","0","1644117514"
"101","757_109931","757_3221853","1","2222265589"
"101","757_109931","757_3221854","0","3344475352"
"101","757_109931","757_3221855","0","3859017621"
"101","757_109931","757_3221856","1","1111586804"
"101","757_109931","757_3221857","0","917682364"
"101","757_109931","757_3221858","0","2543441442"
"101","757_109931","757_3221859","0","1268367439"
"101","757_109931","757_3221860","1","1373706250"
"101","757_109931","757_3221861","1","920950918"
"101","757_109931","757_3221862","0","1627925054"
"101","757_109931","757_3221863","0","1644117514"
"101","757_109931","757_3221865","1","2829670546"
"101","757_109931","757_3221866","0","917682364"
"101","757_109931","757_3221883","1","920950918"
"101","757_109990","757_3222788","1","920950918"
"102","757_109371","757_3208304","0","3510483555"
"102","757_109371","757_3208305","0","3510483555"
"102","757_109371","757_3208306","0","3510483555"
"102","757_109371","757_3208307","0","3510483555"
"102","757_109371","757_3208308","0","3510483555"
"102","757_109371","757_3208309","0","3510483555"
"102","757_109371","757_3208310","0","3510483555"
"102","757_109371","757_3208311","0","3510483555"
"102","757_109371","757_3208312","1","1787420865"
"102","757_109371","757_3208313","1","1787420865"
"102","757_109371","757_3208314","1","1787420865"
"102","757_109371","757_3208315","1","1787420865"
"102","757_109371","757_3208316","1","1787420865"
"102","757_109371","757_3208317","1","1787420865"
"102","757_109371","757_3208318","1","1787420865"
"102","757_109371","757_3208319","1","1787420865"
"102","757_109371","757_3208320","1","1787420865"
"102","757_109371","757_3208321","1","1787420865"
"102","757_109371","757_3208322","0","3510483555"
"102","757_109371","757_3208323","0","3510483555"
"102","757_109371","757_3208324","0","3510483555"
"102","757_109371","757_3208325","0","3510483555"
"102","757_109371","757_3208326","1","1787420865"
"102","757_109371","757_3208327","1","1787420865"
"102","757_109371","757_3208328","1","1787420865"
"102","757_109371","757_3208329","1","1787420865"
"102","757_109371","757_3208330","0","3510483555"
"102","757_109371","757_3208331","0","3510483555"
"102","757_109371","757_3208332","0","3510483555"
"102","757_109371","757_3208333","0","3510483555"
"102","757_109371","757_3208334","0","3510483555"
"102","757_109371","757_3208335","0","3510483555"
"102","757_109371","757_3208336","0","3510483555"
"102","757_109371","757_3208337","0","3510483555"
"102","757_109371","757_3208338","0","3510483555"
