service_id,date,exception_type
"757_114634","20180204","1"
"757_114634","20180211","1"
"757_114634","20180218","1"
"757_114634","20180225","1"
"757_114634","20180304","1"
"757_114634","20180311","1"
"757_114634","20180318","1"
"757_114634","20180325","1"
"757_114634","20180401","1"
"757_114634","20180402","1"
"757_114634","20180408","1"
"757_114634","20180415","1"
"757_114634","20180422","1"
"757_114634","20180425","1"
"757_114634","20180429","1"
"757_114634","20180501","1"
"757_114634","20180506","1"
"757_114634","20180513","1"
"757_114634","20180520","1"
"757_114634","20180527","1"
"757_114646","20170916","1"
"757_114646","20170923","1"
"757_114646","20170930","1"
"757_114646","20171007","1"
"757_114646","20171014","1"
"757_114646","20171021","1"
"757_114646","20171028","1"
"757_114646","20171104","1"
"757_114646","20171111","1"
"757_114646","20171118","1"
"757_114646","20171125","1"
"757_114646","20171202","1"
"757_114646","20171209","1"
"757_114646","20171216","1"
"757_114646","20171223","1"
"757_114646","20171230","1"
"757_114646","20180113","1"
"757_114646","20180120","1"
"757_114646","20180127","1"
"757_114646","20180203","1"
"757_114646","20180210","1"
"757_114646","20180217","1"
"757_114646","20180224","1"
"757_114646","20180303","1"
"757_114646","20180310","1"
"757_114646","20180317","1"
"757_114646","20180324","1"
"757_114646","20180331","1"
"757_114646","20180407","1"
"757_114646","20180414","1"
"757_114646","20180421","1"
"757_114646","20180428","1"
"757_114646","20180505","1"
"757_114646","20180512","1"
"757_114646","20180519","1"
"757_114646","20180526","1"
"757_114647","20170917","1"
"757_114647","20170924","1"
"757_114647","20171001","1"
"757_114647","20171008","1"
"757_114647","20171015","1"
"757_114647","20171022","1"
"757_114647","20171029","1"
"757_114647","20171101","1"
"757_114647","20171105","1"
"757_114647","20171112","1"
"757_114647","20171119","1"
"757_114647","20171126","1"
"757_114647","20171203","1"
"757_114647","20171208","1"
"757_114647","20171210","1"
"757_114647","20171217","1"
"757_114647","20171224","1"
"757_114647","20171225","1"
"757_114647","20171226","1"
"757_114647","20171231","1"
"757_114647","20180101","1"
"757_114647","20180106","1"
"757_114647","20180107","1"
"757_114647","20180114","1"
"757_114647","20180121","1"
"757_114647","20180128","1"
"757_114647","20180204","1"
"757_114647","20180211","1"
"757_114647","20180218","1"
"757_114647","20180225","1"
"757_114647","20180304","1"
"757_114647","20180311","1"
"757_114647","20180318","1"
"757_114647","20180325","1"
"757_114647","20180401","1"
"757_114647","20180402","1"
"757_114647","20180408","1"
"757_114647","20180415","1"
"757_114647","20180422","1"
"757_114647","20180425","1"
"757_114647","20180429","1"
"757_114647","20180501","1"
"757_114647","20180506","1"
"757_114647","20180513","1"
"757_114647","20180520","1"
"757_114647","20180527","1"
"757_114648","20170915","1"
"757_114648","20170918","1"
"757_114648","20170919","1"
"757_114648","20170920","1"
"757_114648","20170921","1"
"757_114648","20170922","1"
"757_114648","20170925","1"
"757_114648","20170926","1"
"757_114648","20170927","1"
"757_114648","20170928","1"
"757_114648","20170929","1"
"757_114648","20171002","1"
"757_114648","20171003","1"
"757_114648","20171005","1"
"757_114648","20171006","1"
"757_114648","20171009","1"
"757_114648","20171010","1"
"757_114648","20171011","1"
"757_114648","20171012","1"
"757_114648","20171013","1"
"757_114648","20171016","1"
"757_114648","20171017","1"
"757_114648","20171018","1"
"757_114648","20171019","1"
"757_114648","20171020","1"
"757_114648","20171023","1"
"757_114648","20171024","1"
"757_114648","20171025","1"
"757_114648","20171026","1"
"757_114648","20171027","1"
"757_114648","20171030","1"
"757_114648","20171031","1"
"757_114648","20171102","1"
"757_114648","20171103","1"
"757_114648","20171106","1"
"757_114648","20171107","1"
"757_114648","20171108","1"
"757_114648","20171109","1"
"757_114648","20171110","1"
"757_114648","20171113","1"
"757_114648","20171114","1"
"757_114648","20171115","1"
"757_114648","20171116","1"
"757_114648","20171117","1"
"757_114648","20171120","1"
"757_114648","20171121","1"
"757_114648","20171122","1"
"757_114648","20171123","1"
"757_114648","20171124","1"
"757_114648","20171127","1"
"757_114648","20171128","1"
"757_114648","20171129","1"
"757_114648","20171130","1"
"757_114648","20171201","1"
"757_114648","20171204","1"
"757_114648","20171205","1"
"757_114648","20171206","1"
"757_114648","20171207","1"
"757_114648","20171211","1"
"757_114648","20171212","1"
"757_114648","20171213","1"
"757_114648","20171214","1"
"757_114648","20171215","1"
"757_114648","20171218","1"
"757_114648","20171219","1"
"757_114648","20171220","1"
"757_114648","20171221","1"
"757_114648","20171222","1"
"757_114648","20171227","1"
"757_114648","20171228","1"
"757_114648","20171229","1"
"757_114648","20180102","1"
"757_114648","20180103","1"
"757_114648","20180104","1"
"757_114648","20180105","1"
"757_114648","20180108","1"
"757_114648","20180109","1"
"757_114648","20180110","1"
"757_114648","20180111","1"
"757_114648","20180112","1"
"757_114648","20180115","1"
"757_114648","20180116","1"
"757_114648","20180117","1"
"757_114648","20180118","1"
"757_114648","20180119","1"
"757_114648","20180122","1"
"757_114648","20180123","1"
"757_114648","20180124","1"
"757_114648","20180125","1"
"757_114648","20180126","1"
"757_114648","20180129","1"
"757_114648","20180130","1"
"757_114648","20180131","1"
"757_114648","20180201","1"
"757_114648","20180202","1"
"757_114648","20180205","1"
"757_114648","20180206","1"
"757_114648","20180207","1"
"757_114648","20180208","1"
"757_114648","20180209","1"
"757_114648","20180212","1"
"757_114648","20180213","1"
"757_114648","20180214","1"
"757_114648","20180215","1"
"757_114648","20180216","1"
"757_114648","20180219","1"
"757_114648","20180220","1"
"757_114648","20180221","1"
"757_114648","20180222","1"
"757_114648","20180223","1"
"757_114648","20180226","1"
"757_114648","20180227","1"
"757_114648","20180228","1"
"757_114648","20180301","1"
"757_114648","20180302","1"
"757_114648","20180305","1"
"757_114648","20180306","1"
"757_114648","20180307","1"
"757_114648","20180308","1"
"757_114648","20180309","1"
"757_114648","20180312","1"
"757_114648","20180313","1"
"757_114648","20180314","1"
"757_114648","20180315","1"
"757_114648","20180316","1"
"757_114648","20180319","1"
"757_114648","20180320","1"
"757_114648","20180321","1"
"757_114648","20180322","1"
"757_114648","20180323","1"
"757_114648","20180326","1"
"757_114648","20180327","1"
"757_114648","20180328","1"
"757_114648","20180329","1"
"757_114648","20180330","1"
"757_114648","20180403","1"
"757_114648","20180404","1"
"757_114648","20180405","1"
"757_114648","20180406","1"
"757_114648","20180409","1"
"757_114648","20180410","1"
"757_114648","20180411","1"
"757_114648","20180412","1"
"757_114648","20180413","1"
"757_114648","20180416","1"
"757_114648","20180417","1"
"757_114648","20180418","1"
"757_114648","20180419","1"
"757_114648","20180420","1"
"757_114648","20180423","1"
"757_114648","20180424","1"
"757_114648","20180426","1"
"757_114648","20180427","1"
"757_114648","20180430","1"
"757_114648","20180502","1"
"757_114648","20180503","1"
"757_114648","20180504","1"
"757_114648","20180507","1"
"757_114648","20180508","1"
"757_114648","20180509","1"
"757_114648","20180510","1"
"757_114648","20180511","1"
"757_114648","20180514","1"
"757_114648","20180515","1"
"757_114648","20180516","1"
"757_114648","20180517","1"
"757_114648","20180518","1"
"757_114648","20180521","1"
"757_114648","20180522","1"
"757_114648","20180523","1"
"757_114648","20180524","1"
"757_114648","20180525","1"
"757_114648","20180528","1"
